NL,SQL
list the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the maximum tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
display people with disbursement_amount above 7883 and tenure_months less than 533,SELECT * FROM loans WHERE disbursement_amount > 7883 AND tenure_months < 533;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me people having tenure_months more than 150,SELECT * FROM loans WHERE tenure_months > 150;
show customers having age above 540,SELECT * FROM loans WHERE age > 540;
display borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show borrowers where tenure_months greater than 68,SELECT * FROM loans WHERE tenure_months > 68;
give me borrowers with tenure_months over 30254 and disbursement_amount below 700,SELECT * FROM loans WHERE tenure_months > 30254 AND disbursement_amount < 700;
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
fetch people with credit_score above 19053 and disbursement_amount less than 711,SELECT * FROM loans WHERE credit_score > 19053 AND disbursement_amount < 711;
show borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me borrowers with age over 357,SELECT * FROM loans WHERE age > 357;
list clients having tenure_months more than 919,SELECT * FROM loans WHERE tenure_months > 919;
give me clients having tenure_months more than 506,SELECT * FROM loans WHERE tenure_months > 506;
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
display customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
give me the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
list customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers having credit_score greater than 363,SELECT * FROM loans WHERE credit_score > 363;
show people where credit_score above 660,SELECT * FROM loans WHERE credit_score > 660;
list customers having disbursement_amount above 997,SELECT * FROM loans WHERE disbursement_amount > 997;
give me customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients with credit_score greater than 11796 and disbursement_amount under 492,SELECT * FROM loans WHERE credit_score > 11796 AND disbursement_amount < 492;
fetch borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
fetch the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
give me borrowers with tenure_months over 9192 and disbursement_amount less than 622,SELECT * FROM loans WHERE tenure_months > 9192 AND disbursement_amount < 622;
list people with credit_score more than 780,SELECT * FROM loans WHERE credit_score > 780;
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
what is the max disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
list borrowers with disbursement_amount more than 555,SELECT * FROM loans WHERE disbursement_amount > 555;
fetch borrowers with credit_score more than 390,SELECT * FROM loans WHERE credit_score > 390;
fetch customers having credit_score greater than 42910 and disbursement_amount less than 335,SELECT * FROM loans WHERE credit_score > 42910 AND disbursement_amount < 335;
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list customers with disbursement_amount greater than 1068 and credit_score not exceeding 494,SELECT * FROM loans WHERE disbursement_amount > 1068 AND credit_score < 494;
show customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients having disbursement_amount more than 29795 and credit_score less than 501,SELECT * FROM loans WHERE disbursement_amount > 29795 AND credit_score < 501;
show clients having tenure_months more than 49533 and disbursement_amount under 545,SELECT * FROM loans WHERE tenure_months > 49533 AND disbursement_amount < 545;
fetch the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me customers with credit_score over 765,SELECT * FROM loans WHERE credit_score > 765;
display customers having tenure_months over 39046 and credit_score not exceeding 333,SELECT * FROM loans WHERE tenure_months > 39046 AND credit_score < 333;
give me borrowers having tenure_months greater than 2310 and disbursement_amount below 589,SELECT * FROM loans WHERE tenure_months > 2310 AND disbursement_amount < 589;
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display borrowers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients where credit_score over 44608 and disbursement_amount less than 642,SELECT * FROM loans WHERE credit_score > 44608 AND disbursement_amount < 642;
fetch customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show people where disbursement_amount over 820,SELECT * FROM loans WHERE disbursement_amount > 820;
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the average tenure_months of all loans,SELECT AVG(tenure_months) FROM loans;
fetch borrowers having credit_score over 656,SELECT * FROM loans WHERE credit_score > 656;
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients with age greater than 341,SELECT * FROM loans WHERE age > 341;
list people where credit_score over 21027 and disbursement_amount below 772,SELECT * FROM loans WHERE credit_score > 21027 AND disbursement_amount < 772;
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people having tenure_months more than 13973 and credit_score below 485,SELECT * FROM loans WHERE tenure_months > 13973 AND credit_score < 485;
show borrowers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
what is the total credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
give me borrowers with disbursement_amount more than 2270 and credit_score below 666,SELECT * FROM loans WHERE disbursement_amount > 2270 AND credit_score < 666;
fetch people where credit_score above 23866 and disbursement_amount under 752,SELECT * FROM loans WHERE credit_score > 23866 AND disbursement_amount < 752;
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me clients with credit_score over 795,SELECT * FROM loans WHERE credit_score > 795;
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the lowest disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
fetch customers with tenure_months over 49045 and disbursement_amount less than 666,SELECT * FROM loans WHERE tenure_months > 49045 AND disbursement_amount < 666;
list customers having credit_score above 12472 and tenure_months not exceeding 530,SELECT * FROM loans WHERE credit_score > 12472 AND tenure_months < 530;
display clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the average disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
show borrowers with credit_score more than 46057 and disbursement_amount less than 349,SELECT * FROM loans WHERE credit_score > 46057 AND disbursement_amount < 349;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients where disbursement_amount above 19181 and tenure_months less than 323,SELECT * FROM loans WHERE disbursement_amount > 19181 AND tenure_months < 323;
display clients having disbursement_amount greater than 9244 and tenure_months below 350,SELECT * FROM loans WHERE disbursement_amount > 9244 AND tenure_months < 350;
give me customers where disbursement_amount above 986,SELECT * FROM loans WHERE disbursement_amount > 986;
display people ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show clients ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the number disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
list customers with credit_score over 22452 and disbursement_amount not exceeding 783,SELECT * FROM loans WHERE credit_score > 22452 AND disbursement_amount < 783;
show customers ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
display clients where disbursement_amount greater than 238,SELECT * FROM loans WHERE disbursement_amount > 238;
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the min tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
list borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people having credit_score greater than 26827 and tenure_months below 541,SELECT * FROM loans WHERE credit_score > 26827 AND tenure_months < 541;
what is the min credit_score of all loans,SELECT MIN(credit_score) FROM loans;
show borrowers having credit_score more than 22446 and disbursement_amount not exceeding 659,SELECT * FROM loans WHERE credit_score > 22446 AND disbursement_amount < 659;
list customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
fetch people where credit_score more than 6298 and disbursement_amount not exceeding 772,SELECT * FROM loans WHERE credit_score > 6298 AND disbursement_amount < 772;
display customers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
display clients with credit_score over 392,SELECT * FROM loans WHERE credit_score > 392;
what is the mean credit_score of all loans,SELECT AVG(credit_score) FROM loans;
what is the mean disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
what is the overall tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers with credit_score over 18996 and disbursement_amount under 633,SELECT * FROM loans WHERE credit_score > 18996 AND disbursement_amount < 633;
list clients having disbursement_amount greater than 20057 and credit_score less than 473,SELECT * FROM loans WHERE disbursement_amount > 20057 AND credit_score < 473;
fetch customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
give me clients having disbursement_amount above 29709 and credit_score not exceeding 389,SELECT * FROM loans WHERE disbursement_amount > 29709 AND credit_score < 389;
list clients where age more than 121,SELECT * FROM loans WHERE age > 121;
show borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
give me the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch clients with disbursement_amount over 1921 and tenure_months less than 451,SELECT * FROM loans WHERE disbursement_amount > 1921 AND tenure_months < 451;
fetch borrowers with credit_score more than 530,SELECT * FROM loans WHERE credit_score > 530;
what is the mean credit_score of all loans,SELECT AVG(credit_score) FROM loans;
fetch clients ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
what is the highest tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
display clients where disbursement_amount more than 663,SELECT * FROM loans WHERE disbursement_amount > 663;
list clients with disbursement_amount over 24189 and tenure_months less than 357,SELECT * FROM loans WHERE disbursement_amount > 24189 AND tenure_months < 357;
show the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the highest disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
give me clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
fetch borrowers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list clients where credit_score above 12152 and tenure_months below 370,SELECT * FROM loans WHERE credit_score > 12152 AND tenure_months < 370;
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch borrowers with tenure_months above 39458 and disbursement_amount less than 377,SELECT * FROM loans WHERE tenure_months > 39458 AND disbursement_amount < 377;
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me customers having disbursement_amount greater than 453,SELECT * FROM loans WHERE disbursement_amount > 453;
fetch borrowers where credit_score more than 36287 and disbursement_amount below 338,SELECT * FROM loans WHERE credit_score > 36287 AND disbursement_amount < 338;
list the number of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers where disbursement_amount over 48222 and tenure_months below 330,SELECT * FROM loans WHERE disbursement_amount > 48222 AND tenure_months < 330;
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
list people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
list borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me borrowers ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
list the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the minimum disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
fetch clients having disbursement_amount more than 19974 and credit_score under 321,SELECT * FROM loans WHERE disbursement_amount > 19974 AND credit_score < 321;
give me the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients with credit_score over 23422 and disbursement_amount not exceeding 601,SELECT * FROM loans WHERE credit_score > 23422 AND disbursement_amount < 601;
show customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
what is the count disbursement_amount of all loans,SELECT COUNT(disbursement_amount) FROM loans;
fetch borrowers ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
fetch clients ordered by tenure_months in descending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months DESC;"
show customers having tenure_months greater than 37818 and credit_score under 315,SELECT * FROM loans WHERE tenure_months > 37818 AND credit_score < 315;
give me customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
show people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the number credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
what is the sum credit_score of all loans,SELECT SUM(credit_score) FROM loans;
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display people where tenure_months greater than 552,SELECT * FROM loans WHERE tenure_months > 552;
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
show clients having tenure_months more than 32039 and credit_score below 770,SELECT * FROM loans WHERE tenure_months > 32039 AND credit_score < 770;
what is the lowest tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
list customers having credit_score more than 602,SELECT * FROM loans WHERE credit_score > 602;
display people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the number credit_score of all loans,SELECT COUNT(credit_score) FROM loans;
give me borrowers where tenure_months greater than 31693 and disbursement_amount less than 619,SELECT * FROM loans WHERE tenure_months > 31693 AND disbursement_amount < 619;
display borrowers where credit_score more than 8300 and tenure_months not exceeding 635,SELECT * FROM loans WHERE credit_score > 8300 AND tenure_months < 635;
list clients ordered by disbursement_amount in ascending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount ASC;"
show clients with tenure_months over 41306 and disbursement_amount less than 725,SELECT * FROM loans WHERE tenure_months > 41306 AND disbursement_amount < 725;
display clients having age more than 389,SELECT * FROM loans WHERE age > 389;
display customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
give me customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the max tenure_months of all loans,SELECT MAX(tenure_months) FROM loans;
show customers where tenure_months above 44236 and disbursement_amount not exceeding 557,SELECT * FROM loans WHERE tenure_months > 44236 AND disbursement_amount < 557;
give me clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list clients with age more than 820,SELECT * FROM loans WHERE age > 820;
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
what is the total tenure_months of all loans,SELECT COUNT(tenure_months) FROM loans;
fetch clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
display customers ordered by tenure_months in ascending order,"SELECT client_id, tenure_months FROM loans ORDER BY tenure_months ASC;"
fetch borrowers having disbursement_amount greater than 700,SELECT * FROM loans WHERE disbursement_amount > 700;
give me the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch clients with credit_score over 550,SELECT * FROM loans WHERE credit_score > 550;
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show borrowers with tenure_months above 15517 and disbursement_amount not exceeding 600,SELECT * FROM loans WHERE tenure_months > 15517 AND disbursement_amount < 600;
show clients with disbursement_amount more than 38003 and credit_score under 491,SELECT * FROM loans WHERE disbursement_amount > 38003 AND credit_score < 491;
show the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
show borrowers where credit_score over 8500 and disbursement_amount under 719,SELECT * FROM loans WHERE credit_score > 8500 AND disbursement_amount < 719;
give me customers ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
what is the total credit_score of all loans,SELECT SUM(credit_score) FROM loans;
what is the min disbursement_amount of all loans,SELECT MIN(disbursement_amount) FROM loans;
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display people with disbursement_amount greater than 754,SELECT * FROM loans WHERE disbursement_amount > 754;
give me people names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
display borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
what is the minimum tenure_months of all loans,SELECT MIN(tenure_months) FROM loans;
display people where tenure_months greater than 43602 and disbursement_amount not exceeding 520,SELECT * FROM loans WHERE tenure_months > 43602 AND disbursement_amount < 520;
show customers where tenure_months greater than 32076 and disbursement_amount below 767,SELECT * FROM loans WHERE tenure_months > 32076 AND disbursement_amount < 767;
list borrowers having credit_score above 356,SELECT * FROM loans WHERE credit_score > 356;
list customers with credit_score greater than 38925 and tenure_months less than 558,SELECT * FROM loans WHERE credit_score > 38925 AND tenure_months < 558;
list the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
fetch the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
give me people having credit_score greater than 42039 and tenure_months under 797,SELECT * FROM loans WHERE credit_score > 42039 AND tenure_months < 797;
display clients ordered by disbursement_amount in descending order,"SELECT client_id, disbursement_amount FROM loans ORDER BY disbursement_amount DESC;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
fetch borrowers with credit_score more than 4363 and tenure_months not exceeding 332,SELECT * FROM loans WHERE credit_score > 4363 AND tenure_months < 332;
show borrowers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display the number of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
what is the sum tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list the total of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the mean disbursement_amount of all loans,SELECT AVG(disbursement_amount) FROM loans;
list borrowers with tenure_months greater than 4356 and disbursement_amount below 464,SELECT * FROM loans WHERE tenure_months > 4356 AND disbursement_amount < 464;
display customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
list customers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
give me borrowers having credit_score over 640,SELECT * FROM loans WHERE credit_score > 640;
list clients having credit_score greater than 43174 and tenure_months less than 382,SELECT * FROM loans WHERE credit_score > 43174 AND tenure_months < 382;
display clients with credit_score greater than 704,SELECT * FROM loans WHERE credit_score > 704;
show the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
what is the lowest credit_score of all loans,SELECT MIN(credit_score) FROM loans;
give me customers ordered by credit_score in ascending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score ASC;"
display the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me the count of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
display clients having tenure_months above 906,SELECT * FROM loans WHERE tenure_months > 906;
what is the sum credit_score of all loans,SELECT SUM(credit_score) FROM loans;
list borrowers having disbursement_amount greater than 37994 and tenure_months not exceeding 521,SELECT * FROM loans WHERE disbursement_amount > 37994 AND tenure_months < 521;
what is the maximum disbursement_amount of all loans,SELECT MAX(disbursement_amount) FROM loans;
display the count of loans grouped by dpd_bucket,"SELECT dpd_bucket, COUNT(*) FROM loans GROUP BY dpd_bucket;"
show clients where tenure_months over 10581 and credit_score under 570,SELECT * FROM loans WHERE tenure_months > 10581 AND credit_score < 570;
what is the total tenure_months of all loans,SELECT SUM(tenure_months) FROM loans;
list clients with disbursement_amount above 118,SELECT * FROM loans WHERE disbursement_amount > 118;
list the total of loans grouped by repayment_frequency,"SELECT repayment_frequency, COUNT(*) FROM loans GROUP BY repayment_frequency;"
give me borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
fetch borrowers names with loans greater than 20000,"SELECT c.client_name, l.disbursement_amount FROM clients c JOIN loans l ON c.client_id = l.client_id WHERE l.disbursement_amount > 20000;"
show clients ordered by credit_score in descending order,"SELECT client_id, credit_score FROM loans ORDER BY credit_score DESC;"
